p.case_id,c.name,c.dimension
200,feels the practice of pronouns is is a warm hug,pronouns
200,connects with peers,age
200,obscures self,age
200,experiences/observes no religious discrimination,religion
200,experiences pronoun use as respectful or welcoming or inclusive,pronouns
200,mocks sexists comments,gender
200,hides whole self,age
200,confronts problems,gender
200,uses privacy at times (hides details or protects self),age
200,encourages and supports the practice of pronouns,pronouns
200,considers pronoun use through lens of self and others,pronouns
200,recognizes own cis pronoun privilege,pronouns
200,pronouns feel affirming or empowering,pronoun_feelings
200,recognizes own privilege,race-ethnicity
200,observes black woman standing up for self,race-ethnicity
200,hides age or birthday,age
200,considers pronoun disclosure a filter for identifying whether a space is safe or not,pronouns
200,deals with inpapproriate or sexist comments,gender
238,avoids debates related to misogyny,gender
238,avoids friction,gender
238,judged and shamed,religion
238,does not express self,neurodiversity
238,"food, art, music",identity_affinities
238,acts or appears more mature,age
238,positive feelings,pronoun_feelings
238,"\""I like to feed people with good food.\""",identity_reflection
238,changes voice or tone or manner of speaking,race-ethnicity
238,changes language or avoids slang,age
238,avoids discussing religion or religious topics,religion
238,assimilates into dominant culture,age
238,avoids frictions,class
238,assimilates into dominant culture,race-ethnicity
238,avoids frictions,religion
238,hides whole self,neurodiversity
238,changes behavior to fit in,age
238,uses privacy (hides details or protects self),neurodiversity
238,sets boundaries,class
238,controls emotions,age
238,thinks a lot before expressing self because of mental issues,disability
238,changes voice or tone or manner of speaking,age
153,"avoids \""ideologues\"" and \""woke\"" people",race-ethnicity
153,experiences pronoun use as trivial and irrelevant,pronouns
153,"thought \""gross it seems like an ideology of mentally ill people obsessing over something\""",pronoun_feelings
153,works out,age
153,changes voice or tone or manner of speaking,class
153,"science and technology, food, fashion, mental health, physical fitness",identity_affinities
153,controls impressions through grooming or personal hygiene,age
153,indicates white fragility,race-ethnicity
153,avoids discussing religion or religious topics,religion
153,obscures self,age
153,experiences/observes no racial or ethnic discrimination,race-ethnicity
153,finds it impolite to discuss religion at school or work,religion
153,experiences/observes no ableism,disability
153,"observes neurodiversity \""her brings up politics or certain ethnic topics in situations where it is entirely inappropriate\""",neurodiversity
153,assimilates into dominant culture,age
153,assimilates into dominant culture,class
153,avoids frictions,religion
153,experiences/observes gender discrimination,gender
153,experiences/observes no lgbtqia+ discrimination,lgbtqia
153,dresses down,class
153,uses privacy (hides details to protect self),class
153,works on receding hairline,age
153,"\""I grew up being born to a disabled parent with a brain injury, that has shaped and molded my life and have been heavily discriminated against for having to make compromises socially to put my mother first in my life as though she were my child.\""",identity_reflection
153,considers pronoun use through lens of self,pronouns
153,negative feelings,pronoun_feelings
153,performs as less affluent,class
162,protects partner from uncertain people,lgbtqia
162,experiences pronoun use as not a big deal,pronouns
162,"family, people who look like me",identity_affinities
162,acts or appears more mature,age
162,indifferent feelings,pronoun_feelings
162,experiences/observes no religious discrimination,religion
162,experiences/observes no neurodiversity discrimination,neurodiversity
162,assimilates into dominant culture,age
162,assimilates into dominant culture,class
162,experiences/observes no gender discrimination,gender
162,respects people,lgbtqia
162,helps people,lgbtqia
162,avoids friction,lgbtqia
162,adapts attitudes or behaviors to situation,lgbtqia
162,isolates or withdraws,race-ethnicity
162,controls impressions using clothing or makeup,class
29,educates others about islam,religion
29,practices mindfulness,gender
29,experiences pronoun use as very normal,pronouns
29,positive feelings,pronoun_feelings
29,sets boundaries,race-ethnicity
29,Identity is like a puzzle of strengths and vulnerabilities,identity_reflection
29,connects with peers,class
29,experiences/observes no ableism,disability
29,experiences/observes no neurodiversity discrimination,neurodiversity
29,educates people,religion
29,asks for help,class
29,connects with family,class
29,seeks support,class
29,pronouns feel clarifying helpful useful,pronoun_feelings
227,positive feelings,pronoun_feelings
227,speaks up,gender
227,hides lgbtqia+ identity as needed,lgbtqia
227,"socialism, feminism, music, journalism",identity_affinities
227,pronouns feel normal or normalizing,pronoun_feelings
227,pronouns feel supportive for others,pronoun_feelings
227,changes language or avoids slang,age
227,hides sexuality,age
227,advocates for self and others,gender
227,experiences/observes no racial or ethnic discrimination,race-ethnicity
227,works harder or overcompensates,neurodiversity
227,experiences/observes no religious discrimination,religion
227,scripts,neurodiversity
227,assimilates into dominant culture,age
227,hides whole self,age
227,hides political views,age
227,hides whole self,neurodiversity
227,avoids frictions,neurodiversity
227,experiences/observes gender discrimination (misogyny),gender
227,experiences/observes gender discrimination,gender
227,confronts problems,gender
227,resists pressures,gender
227,helps people,gender
227,manages difficult situations,lgbtqia
227,hides whole self,lgbtqia
227,uses privacy at times (hides details to protect self),lgbtqia
227,avoids friction,lgbtqia
227,code-switches,age
227,uses privacy at times (hides details or protects self),age
227,manages difficult situations,neurodiversity
227,adapts attitudes or behaviors to situation,lgbtqia
227,experiences pronoun use as neutral,pronouns
227,comes out in safe spaces with trusted people,lgbtqia
227,uses privacy (hides details or protects self),neurodiversity
227,recognizes own cis pronoun privilege,pronouns
227,"\""Identity is entirely self-constructed. It heavily involves the person themselves and outside opinions should not have any bearing on identity\""",identity_reflection
227,deals with ace exclusion or erasure,lgbtqia
227,disassociates or disengages,neurodiversity
227,jerryrigs workarounds,neurodiversity
227,masks,age
227,considers pronoun use through lens of self,pronouns
227,experiences class discrepancy,class
227,listens to music,neurodiversity
298,positive feelings,pronoun_feelings
298,as a spiritual person works hard to be open about my muslim upbringing and family,religion
298,"\""For the same reason I feel anxious when I don't fit into the box of \""woman\"" all the time, or miss a workout and feel my identity as an \""in-shape\"" individual slip. They are frames we hang upon ourselves for the reason of belonging in a complex society. They do empower us, and keep us safe, and connected- they also have the potential to jade us and make us feel lost.\""",identity_reflection
298,observes disability discrimination at work,disability
298,"observes \""less trust for coworkers who have disabilities\""",disability
298,observes disrespect for unique gender identities,gender
298,"presents self as \""classy\""",class
298,"remembers \""my 8th grade classmates thought my dad was a terrorist\""",religion
298,pronouns feel normal or normalizing,pronoun_feelings
298,builds intergenerational relationships,age
298,recognizes own prejudice,age
298,celebrates heritage,race-ethnicity
298,feels pride,race-ethnicity
298,experiences/observes ableism,disability
298,respects people,age
298,assimilates into dominant culture,class
298,learns and empowers self,race-ethnicity
298,manages difficult situations,religion
298,experiences/observes gender discrimination,gender
298,self-reflects,age
298,uses privacy at times (hides details or protects self),age
298,learns and empowers self,neurodiversity
298,manages difficult situations,neurodiversity
298,deals with mean jokes or slurs,religion
298,unlearns the masking,neurodiversity
298,checks own bias,age
298,controls impressions using clothing or makeup,class
298,passes,age
298,"women, feminists, a liberal, hard workers, a neat freaks, mental health, fitness",identity_affinities
298,experiences or expresses distress related to religion,religion
35,as a christian speaks of mainstream concepts like divine intervention and miracles,religion
35,does not sit still,neurodiversity
35,obtains job that allows movement and relieves burden of symptoms,neurodiversity
35,finds pronouns and transitioning difficult to follow,gender
35,I found that I have a greater identity in God than myself,identity_reflection
35,experiences/observes class discrimination at school,class
35,feels pride,race-ethnicity
35,obscures self,religion
35,controls impressions through grooming or personal hygiene,class
35,experiences/observes no ableism,disability
35,assimilates into dominant culture,class
35,experiences/observes no gender discrimination,gender
35,learns and empowers self,neurodiversity
35,manages difficult situations,neurodiversity
35,takes care of own needs,neurodiversity
35,pronouns feel irrelevant or unnecessary,pronoun_feelings
35,shares pronouns when asked,pronouns
35,controls impressions using clothing or makeup,class
35,amplifies identity or culture or heritage,race-ethnicity
35,considers pronoun use through lens of self,pronouns
35,negative feelings,pronoun_feelings
86,positive feelings,pronoun_feelings
86,uses privacy (hides details or protects self),gender
86,hides truth,class
86,code-switches,race-ethnicity
86,code-switches,class
86,experiences/observes no religious discrimination,religion
86,experiences/observes no ableism,disability
86,assimilates into dominant culture,class
86,hides whole self,class
86,assimilates into dominant culture,race-ethnicity
86,hides whole self,gender
86,experiences/observes gender discrimination,gender
86,uses privacy (hides details to protect self),class
86,fears,gender
86,feels uncomfortable,class
86,"observes \""colleagues & staff members/professors use nick names for some of my black friends\""",race-ethnicity
86,experiences pronoun use as not a problem,pronouns
86,considers pronoun use through lens of self,pronouns
86,"observes brother with adhd and ocd try to \""act normal\"" because of bullying",neurodiversity
86,"\""I am a black woman, who comes from a poor background... I think that I bring alot to this conversation, and I think that this is a meaningful conversation :)\""",identity_reflection
48,feels misandry,race-ethnicity
48,"feels misgendered people \""are probably looking for attention\"" and \""have very few serious problems within their lives\""",pronouns
48,experiences pronoun use as intellectually embryonic,pronouns
48,copes with antisemitism by laughing it off,religion
48,"believes \""neurodivergent\"" is used to \""other\"" people",neurodiversity
48,laughs at help,neurodiversity
48,rejects help,neurodiversity
48,resents concept of toxic masculinity,gender
48,"believes \""there is a lot of misandry right now\""",gender
48,"thought \""makes me feel like a homosexual when i’m forced to share my pronouns\""",pronoun_feelings
48,to feel good about myself is to be hygienic and dress like a classy gentleman,identity_reflection
48,experiences or observes antisemitism,religion
48,"believes this is \""embryonic gobbledegook\""",class
48,indicates white fragility,race-ethnicity
48,blames,race-ethnicity
48,feels defensive,race-ethnicity
48,experiences/observes religious discrimination,religion
48,experiences/observes no ableism,disability
48,ignores people,race-ethnicity
48,avoids frictions,religion
48,manages difficult situations,religion
48,resents people,class
48,makes fun or jokes around,class
48,makes fun or jokes around,race-ethnicity
48,resents people,race-ethnicity
48,resents people,religion
48,makes fun or jokes around,neurodiversity
48,resents people,neurodiversity
48,believes white people are victims of racism,race-ethnicity
48,considers pronoun use through lens of self and judges others,pronouns
48,judges others for valuing pronouns,pronouns
48,experiences or expresses distress related to religion,religion
48,negative feelings,pronoun_feelings
54,experiences the use of pronouns as an unnecessary feature in social media,pronouns
54,strongly believes in jesus,religion
54,rejects judgement about christian beliefs,religion
54,a person should be comfortable in who they are and disregard what other people say in order to avoid being impacted by unalterable public opinions,identity_reflection
54,performs as more affluent,class
54,experiences/observes no ableism,disability
54,experiences/observes no neurodiversity discrimination,neurodiversity
54,assimilates into dominant culture,class
54,experiences/observes no gender discrimination,gender
54,resists pressures,religion
54,controls impressions using clothing or makeup,class
54,experiences or expresses distress related to religion,religion
54,negative feelings,pronoun_feelings
50,experiences others being curious about wiccan religion,religion
50,"believes gender identity \""only matters to me\"" and \""what other people think is irrelevant\""",gender
50,"\""I think too many grown people care about how they’re perceived and judge other people’s identities\""",identity_reflection
50,indifferent feelings,pronoun_feelings
50,experiences pronoun use as respectful,pronouns
50,performs as more affluent,class
50,feels pride,race-ethnicity
50,uses self-confidence,race-ethnicity
50,experiences/observes no neurodiversity discrimination,neurodiversity
50,assimilates into dominant culture,class
50,resists pressures,race-ethnicity
50,ignores people,race-ethnicity
50,learns and empowers self,gender
50,self-reflects,gender
50,ignores people,gender
50,practices authenticity,race-ethnicity
50,buys knock-offs,class
50,deals with racist jokes or slurs,race-ethnicity
50,centers self rejects impositions,gender
50,considers pronoun use through lens of self and others,pronouns
50,controls impressions using clothing or makeup,class
112,uses privacy at times (hides details to protect self),disability
112,positive feelings,pronoun_feelings
112,avoids things that overwhelm and cause burnout,neurodiversity
112,takes care of wellbeing,neurodiversity
112,stays mindful of wellbeing,neurodiversity
112,sets boundaries,race-ethnicity
112,hides medication,disability
112,masks,neurodiversity
112,pronouns feel normal or normalizing,pronoun_feelings
112,avoids discussing religion or religious topics,religion
112,experiences racial or ethnic discrimination at school,race-ethnicity
112,opts out,disability
112,scripts,neurodiversity
112,hides whole self,class
112,ignores people,race-ethnicity
112,hides whole self,disability
112,hides whole self,neurodiversity
112,avoids frictions,neurodiversity
112,isolates or withdraws,gender
112,uses privacy (hides details to protect self),class
112,"\""I'm curious about where the line between personality and identity lies. Along a similar vein, I wonder about measuring how much these things mean to my identity personally (for instance, being a woman might be a huge part of someone's identity, but a small part of someone else's). These scales are interesting me. \""",identity_reflection
112,falls into fawn response,gender
112,avoids situations,disability
112,isolates or withdraws,disability
112,fears,gender
112,seeks safety,gender
112,avoids frictions,gender
112,sets boundaries,neurodiversity
112,uses privacy (hides details or protects self),neurodiversity
112,considers pronoun use through lens of self and others,pronouns
112,believes pronouns minimize assumptions or misunderstandings,pronouns
112,experiences pronoun use as cool,pronouns
112,uses privacy at times (hides details to protect self),religion
112,ignores racial discrimination,race-ethnicity
112,experiences or expresses distress related to religion,religion
128,hides home life,class
128,protects privilege or wealth,class
128,experiences/observes no racial or ethnic discrimination,race-ethnicity
128,experiences/observes no religious discrimination,religion
128,experiences/observes no ableism,disability
128,hides whole self,class
128,uses privacy (hides details to protect self),class
308,indifferent feelings,pronoun_feelings
308,changes language or avoids slang,age
308,controls impressions using clothing or makeup,race-ethnicity
308,experiences/observes age discrimination at work,age
308,experiences/observes no classism,class
308,experiences/observes no religious discrimination,religion
308,experiences/observes no ableism,disability
308,experiences/observes no neurodiversity discrimination,neurodiversity
308,assimilates into dominant culture,age
308,hides whole self,age
308,assimilates into dominant culture,race-ethnicity
308,experiences/observes gender discrimination,gender
308,experiences/observes no lgbtqia+ discrimination,lgbtqia
308,shares own pronouns in class introductions,pronouns
308,"Japanese heritage culture and community, cuisines, global discussions, traveling",identity_affinities
308,"\""Identity is a delicate balance of empowerment and vulnerability. \""",identity_reflection
308,documents work and proves abilities,gender
308,hides age or birthday,age
308,works harder or overcompensates,gender
308,changes voice or tone or manner of speaking,age
1,does not share own pronouns,pronouns
1,avoids prayer in public,religion
1,avoids wearing hijab when traveling,religion
1,tries extra hard to not be labeled typical woman,gender
1,tries extra hard to not make mistakes,gender
1,talks to people,class
1,"thought \""its something that doesn't come naturally\""",pronoun_feelings
1,identity emerges over time,identity_reflection
1,identity is deeper than a list,identity_reflection
1,uses self-confidence,class
1,uses open communication,class
1,experiences/observes no ableism,disability
1,experiences/observes no neurodiversity discrimination,neurodiversity
1,assimilates into dominant culture,race-ethnicity
1,avoids frictions,religion
1,hides whole self,religion
1,manages difficult situations,religion
1,hides whole self,gender
1,experiences/observes gender discrimination,gender
1,experiences/observes religious discrimination in public,religion
1,practices authenticity,class
1,ambivalent feelings,pronoun_feelings
1,resents assumptions,gender
1,experiences double bind,gender
1,uses privacy at times (hides details to protect self),religion
1,experiences stereotype threat,gender
1,considers pronoun use through lens of self,pronouns
1,experiences or expresses distress related to religion,religion
1,deals with sexist stem culture or other male-dominated field,gender
1,works harder or overcompensates,gender
1,changes name or uses nickname,race-ethnicity
357,assimilates into dominant culture,class
357,controls impressions using clothing or makeup,class
53,distracts,religion
53,forgets feelings,religion
53,distracts,neurodiversity
53,distracts,gender
53,forgets feelings,gender
53,experiences pronouns use as good,pronouns
53,My identity is confusing...,identity_reflection
53,forgets feelings,disability
53,"thought \""i don’t care what you want me to call you\""",pronoun_feelings
53,seeks out love and kindness,class
53,sublimates,disability
53,manages difficult situations,class
53,manages difficult situations,religion
53,manages difficult situations,disability
53,manages difficult situations,gender
53,manages difficult situations,neurodiversity
53,sublimates,neurodiversity
53,distracts,class
53,sublimates,class
53,sublimates,religion
53,distracts,disability
53,sublimates,gender
53,forgets feelings,neurodiversity
53,forgets feelings,class
53,negative feelings,pronoun_feelings
398,experiences pronoun use as confusing to some others,pronouns
398,experiences/observes no religious discrimination,religion
398,experiences/observes no ableism,disability
398,experiences/observes no neurodiversity discrimination,neurodiversity
398,assimilates into dominant culture,age
398,hides whole self,age
398,assimilates into dominant culture,class
398,hides whole self,class
398,assimilates into dominant culture,race-ethnicity
398,experiences/observes no gender discrimination,gender
398,changes behavior to fit in,age
398,uses privacy at times (hides details or protects self),age
398,considers pronoun use through lens of self and others,pronouns
398,places and interests,identity_affinities
398,pronouns feel awkward,pronoun_feelings
398,changes name or uses nickname,race-ethnicity
44,hides christian religion in liberal settings,religion
44,observes scoffing at scooter or wheelchair,disability
44,"finds \""jabs at women\"" jokes funny",gender
44,experiences pronoun use as something to 'get around' or avoid,pronouns
44,"thought \""never heard anyone actually share ones that aren’t their biological sex\""",pronoun_feelings
44,These are the ways we feel about ourselves in that we are a tribe. The biggest thing to me is that the same precautions and programs and special privileges that some groups get should at least be applied in some way to EVERYONE including whites,identity_reflection
44,indicates white fragility,race-ethnicity
44,"resents that \""white people are the enemy in history\""",race-ethnicity
44,blames,race-ethnicity
44,obscures self,class
44,feels defensive,race-ethnicity
44,experiences/observes ableism,disability
44,experiences/observes no neurodiversity discrimination,neurodiversity
44,hides whole self,religion
44,cloaks wealth through clothing,class
44,does not see color,race-ethnicity
44,uses names for others rather than their pronouns,pronouns
44,indicates sexism or misogyny,gender
44,resents assumptions,class
44,resents people,race-ethnicity
44,resents people,religion
44,deals with mean jokes or slurs,religion
44,pronouns feel irrelevant or unnecessary,pronoun_feelings
44,experiences or observes blasphemy and anti-christian sentiment,religion
44,uses privacy at times (hides details to protect self),religion
44,controls impressions using clothing or makeup,class
44,pronouns feel awkward,pronoun_feelings
44,considers pronoun use through lens of self,pronouns
44,experiences or expresses distress related to religion,religion
44,negative feelings,pronoun_feelings
326,acts or appears more mature,age
326,involves self in more serious discussions,age
326,controls impressions using clothing or makeup,age
326,experiences/observes age discrimination at home,age
326,assimilates into dominant culture,age
326,uses open communication,age
90,deals with peer resentment over free lunch and waived fees,class
90,taught to claim particular religious affiliation,religion
90,"thought \""do it to ensure that my peers are comfortable presenting their own gender identity\""",pronoun_feelings
90,positive feelings,pronoun_feelings
90,pretends to be religious to avoid conflict,religion
90,pronouns feel supportive for others,pronoun_feelings
90,experiences pronouns use as accepting,pronouns
90,code-switches,race-ethnicity
90,pronouns feel fine,pronoun_feelings
90,code-switches,class
90,deals with ignorance and judgement about government assistance,class
90,assimilates into dominant culture,class
90,learns and empowers self,class
90,assimilates into dominant culture,race-ethnicity
90,avoids frictions,religion
90,isolates or withdraws,gender
90,connects with peers,gender
90,self-reflects,class
90,uses privacy (hides details to protect self),class
90,hides food,race-ethnicity
90,changes eating,race-ethnicity
90,experiences religious impositions or pressures to conform,religion
90,"\""Oftentimes, I have difficulty reconciling my ethnic culture and sexuality since American culture deems these as mutually exclusive. I am in therapy to actively combat the feelings I have about the wrongdoings of my culture, but it has made me who I am and this includes my sexuality as a queer woman... it is difficult to not feel shame when both parts of my identity seek to invalidate one another in some form.\""",identity_reflection
90,laughs it off,class
90,recognizes own cis pronoun privilege,pronouns
90,goes along to get along,religion
90,pronouns feel accepting or inclusive or respectful or welcoming,pronoun_feelings
90,considers pronoun use through lens of self,pronouns
90,experiences or expresses distress related to religion,religion
90,hides religion,race-ethnicity
199,acts or appears more mature,age
199,positive feelings,pronoun_feelings
199,hides lgbtqia+ identity as needed,lgbtqia
199,masks,neurodiversity
199,controls impressions through grooming or personal hygiene,age
199,controls impressions using clothing or makeup,age
199,feels burden,class
199,hides rainbow phone,lgbtqia
199,experiences pronoun use as teachable moments,pronouns
199,shares own pronouns always,pronouns
199,tries to act neurotypical,neurodiversity
199,code-switches,class
199,experiences exhaustion and depression from masking,neurodiversity
199,assimilates into dominant culture,age
199,hides whole self,class
199,hides whole self,neurodiversity
199,avoids frictions,neurodiversity
199,experiences/observes gender discrimination,gender
199,manages difficult situations,lgbtqia
199,hides whole self,lgbtqia
199,uses privacy at times (hides details to protect self),lgbtqia
199,avoids friction,lgbtqia
199,uses privacy (hides details to protect self),class
199,feel tired,neurodiversity
199,plays into stereotypes,gender
199,passes,lgbtqia
199,remains closeted as needed,lgbtqia
199,adapts attitudes or behaviors to situation,lgbtqia
199,uses privacy (hides details or protects self),neurodiversity
199,considers pronoun use through lens of self and others,pronouns
